,CGAC AGENCY CODE,AGENCY NAME,AGENCY ABBREVIATION,FREC,FREC Entity Description,FREC ABBREVIATION,SUBTIER CODE,SUBTIER NAME,SUBTIER ABBREVIATION,Admin Org Name,ADMIN_ORG,TOPTIER_FLAG,IS_FREC,FREC CGAC ASSOCIATION,USER SELECTABLE ON USASPENDING.GOV,MISSION,ABOUT AGENCY DATA,WEBSITE,CONGRESSIONAL JUSTIFICATION,ICON FILENAME,COMMENT
13,005,Government Accountability Office,GAO,0500,Government Accountability Office,GAO,0500,Government Accountability Office,GAO,,,True,False,True,True,"Our Mission is to support the Congress in meeting its constitutional responsibilities and to help improve the performance and ensure the accountability of the federal government for the benefit of the American people. We provide Congress with timely information that is objective, fact-based, nonpartisan, nonideological, fair, and balanced.",,https://www.gao.gov/,https://www.gao.gov/products/gao-21-510t,,Added FY22 CJ on 11-16-21 (not standard link format)
94,012,Department of Agriculture,USDA,1200,Department of Agriculture,USDA,1200,Department of Agriculture,USDA,DEPARTMENT OF AGRICULTURE,0.0,True,False,True,True,"We provide leadership on food, agriculture, natural resources, rural development, nutrition, and related issues based on sound public policy, the best available science, and efficient management.",,https://www.usda.gov/,https://www.usda.gov/cj,USDA.jpg,
183,013,Department of Commerce,DOC,1300,Department of Commerce,DOC,1300,Department of Commerce,DOC,,,True,False,True,True,The mission of the Department is to create the conditions for economic growth and opportunity.,,https://www.commerce.gov/,https://www.commerce.gov/cj,DOC.jpg,
209,014,Department of the Interior,DOI,1400,Department of the Interior,DOI,1400,Department of the Interior,DOI,,,True,False,True,True,"The Department of the Interior protects and manages the Nation's natural resources and cultural heritage; provides scientific and other information about those resources; and honors its trust responsibilities or special commitments to American Indians, Alaska Natives, and affiliated island communities.",,https://www.doi.gov/,https://www.doi.gov/cj,DOI.jpg,
252,015,Department of Justice,DOJ,1500,Department of Justice,DOJ,1500,Department of Justice,DOJ,,,True,False,True,True,To enforce the law and defend the interests of the United States according to the law; to ensure public safety against threats foreign and domestic; to provide federal leadership in preventing and controlling crime; to seek just punishment for those guilty of unlawful behavior; and to ensure fair and impartial administration of justice for all Americans.,,https://www.justice.gov/,https://www.justice.gov/cj,DOJ.jpg,
316,019,Department of State,DOS,1900,Department of State,DOS,1900,Department of State,DOS,DEPARTMENT OF STATE,0.0,True,False,True,True,"The Department's mission is to shape and sustain a peaceful, prosperous, just, and democratic world and foster conditions for stability and progress for the benefit of the American people and people everywhere. This mission is shared with the USAID, ensuring we have a common path forward in partnership as we invest in the shared security and prosperity that will ultimately better prepare us for the challenges of tomorrow.",,https://www.state.gov/,https://www.state.gov/cj,DOS.jpg,
457,020,Department of the Treasury,TREAS,2000,Department of the Treasury,TREAS,2000,Department of the Treasury,TREAS,,,True,False,True,True,"Maintain a strong economy and create economic and job opportunities by promoting the conditions that enable economic growth and stability at home and abroad, strengthen national security by combating threats and protecting the integrity of the financial system, and manage the U.S. Government's finances and resources effectively.",,https://www.treasury.gov/,https://www.treasury.gov/cj,DOT.jpg,
508,024,Office of Personnel Management,OPM,2400,Office of Personnel Management,OPM,2400,Office of Personnel Management,OPM,,,True,False,True,True,"Recruit, retain, and honor a world-class workforce to serve the American people.",,https://www.opm.gov/,https://www.opm.gov/cj,OPM.jpg,
540,025,National Credit Union Administration,NCUA,2500,National Credit Union Administration,NCUA,2500,National Credit Union Administration,NCUA,,,True,False,True,True,"Provide, through regulation and supervision, a safe and sound credit union system, which promotes confidence in the national system of cooperative credit.",,https://www.ncua.gov/,https://www.ncua.gov/cj,,
543,027,Federal Communications Commission,FCC,2700,Federal Communications Commission,FCC,2700,Federal Communications Commission,FCC,,,True,False,True,True,"The Federal Communications Commission regulates interstate and international communications by radio, television, wire, satellite, and cable in all 50 states, the District of Columbia and U.S. territories. An independent U.S. government agency overseen by Congress, the Commission is the federal agency responsible for implementing and enforcing America's communications law and regulations.",,https://www.fcc.gov/,https://www.fcc.gov/cj,,
544,028,Social Security Administration,SSA,2800,Social Security Administration,SSA,2800,Social Security Administration,SSA,,,True,False,True,True,Deliver Social Security services that meet the changing needs of the public.,,https://www.ssa.gov/,https://www.ssa.gov/cj,SSA.png,
557,029,Federal Trade Commission,FTC,2900,Federal Trade Commission,FTC,2900,Federal Trade Commission,FTC,,,True,False,True,True,"Protecting consumers and competition by preventing anticompetitive, deceptive, and unfair business practices through law enforcement, advocacy, and education without unduly burdening legitimate business activity.",,https://www.ftc.gov/,https://www.ftc.gov/cj,,Updated Mission statement on 12/29/19 per agency request.
559,031,Nuclear Regulatory Commission,NRC,3100,U.S. Nuclear Regulatory Commission,NRC,3100,Nuclear Regulatory Commission,NRC,,,True,False,True,True,To ensure the safe use of radioactive materials for beneficial civilian purposes while protecting people and the environment.,,https://www.nrc.gov/,https://www.nrc.gov/cj,NRC.jpg,
566,034,International Trade Commission,USITC,3400,International Trade Commission,USITC,3400,International Trade Commission,USITC,,,True,False,True,True,"Consistent with its statutory mandate, the Commission makes determinations in proceedings involving imports claimed to injure a domestic industry or violate U.S. intellectual property rights; provides independent tariff, trade and competitiveness-related analysis and information; and maintains the U.S. tariff schedule.",,https://www.usitc.gov/,https://www.usitc.gov/cj,,
567,036,Department of Veterans Affairs,VA,3600,Department of Veterans Affairs,VA,3600,Department of Veterans Affairs,VA,DEPARTMENT OF VETERANS AFFAIRS,0.0,True,False,True,True,"To fulfill President Lincoln's promise ""To care for him who shall have borne the battle, and for his widow, and his orphan"" by serving and honoring the men and women who are America's veterans.",,https://www.va.gov/,https://www.va.gov/cj,DOVA.jpg,
617,045,Equal Employment Opportunity Commission,EEOC,4500,U.S. Equal Employment Opportunity Commission,EEOC,4500,Equal Employment Opportunity Commission,EEOC,,,True,False,True,True,Stop and Remedy Unlawful Employment Discrimination,,https://www.eeoc.gov/,https://www.eeoc.gov/cj,,
624,047,General Services Administration,GSA,4700,General Services Administration,GSA,4700,General Services Administration,GSA,,,True,False,True,True,"The mission of GSA is to deliver the best value in real estate, acquisition, and technology services to government and the American people.",,https://www.gsa.gov/,https://www.gsa.gov/cj,GSA.jpg,
663,049,National Science Foundation,NSF,4900,National Science Foundation,NSF,4900,National Science Foundation,NSF,,,True,False,True,True,"To promote the progress of science; to advance the national health, prosperity, and welfare; to secure the national defense; and for other purposes.",,https://www.nsf.gov/,https://www.nsf.gov/cj,NSF.jpg,
688,050,Securities and Exchange Commission,SEC,5000,Securities and Exchange Commission,SEC,5000,Securities and Exchange Commission,SEC,,,True,False,True,True,"The mission of the SEC is to protect investors; maintain fair, orderly, and efficient markets; and facilitate capital formation. The SEC strives to promote a market environment that is worthy of the public's trust.",,https://www.sec.gov/,https://www.sec.gov/cj,,
689,051,Federal Deposit Insurance Corporation,FDIC,5100,Federal Deposit Insurance Corporation,FDIC,5100,Federal Deposit Insurance Corporation,FDIC,,,True,False,True,True,The Federal Deposit Insurance Corporation (FDIC) is an independent agency created by the Congress to maintain stability and public confidence in the nation's financial system by: insuring deposits; examining and supervising financial institutions for safety and soundness and consumer protection; making large and complex financial institutions resolvable; and managing receiverships.,,https://www.fdic.gov/,https://www.fdic.gov/cj,,
690,054,Federal Labor Relations Authority,FLRA,5400,Federal Labor Relations Authority,FLRA,5400,Federal Labor Relations Authority,FLRA,,,True,False,True,True,"The FLRA promotes stable, constructive labor-management relations through the resolution and prevention of labor disputes in a manner that gives full effect to the collective-bargaining rights of employees, unions, and agencies.",,https://www.flra.gov/,https://www.flra.gov/cj,,
708,060,Railroad Retirement Board,RRB,6000,Railroad Retirement Board,RRB,6000,Railroad Retirement Board,RRB,,,True,False,True,True,"The RRB's mission is to administer retirement/survivor and unemployment/sickness insurance benefit programs for railroad workers and their families under the Railroad Retirement Act and the Railroad Unemployment Insurance Act.  These programs provide income protection during old age and in the event of disability, death or temporary unemployment and sickness.  The RRB also administers aspects of the Medicare program and has administrative responsibilities under the Social Security Act and the Internal Revenue Code.  In carrying out its mission, the RRB will pay benefits to the right people, in the right amounts, in a timely manner, and will take appropriate action to safeguard our customers' trust funds.  The RRB will treat every person who comes into contact with the agency with courtesy and concern, and respond to all inquiries promptly, accurately and clearly.",,https://www.rrb.gov/,https://www.rrb.gov/cj,,
709,061,Consumer Product Safety Commission,CPSC,6100,Consumer Product Safety Commission,CPSC,6100,Consumer Product Safety Commission,CPSC,,,True,False,True,True,Keeping Consumers Safe,,https://www.cpsc.gov/,https://www.cpsc.gov/cj,,
710,062,Office of Special Counsel,OSC,6200,Office of Special Counsel,OSC,6200,Office of Special Counsel,OSC,,,True,False,True,True,"OSC's primary mission is to safeguard the merit system by protecting federal employees and applicants from prohibited personnel practices, especially reprisal for whistleblowing.",,https://osc.gov/,https://osc.gov/cj,,
712,065,Federal Maritime Commission,FMC,6500,Federal Maritime Commission,FMC,6500,Federal Maritime Commission,FMC,,,True,False,True,True,Ensure a competitive and reliable international ocean transportation supply system that supports the U.S. economy and protects the public from unfair and deceptive practices.,,https://www.fmc.gov/,https://www.fmc.gov/cj,,
715,068,Environmental Protection Agency,EPA,6800,Environmental Protection Agency,EPA,6800,Environmental Protection Agency,EPA,,,True,False,True,True,Our mission is to protect human health and the environment.,,https://www.epa.gov/,https://www.epa.gov/cj,EPA.jpg,
746,069,Department of Transportation,DOT,6900,Department of Transportation,DOT,6900,Department of Transportation,DOT,,,True,False,True,True,"Serve the United States by ensuring a fast, safe, efficient, accessible and convenient transportation system that meets our vital national interests and enhances the quality of life of the American people, today and into the future.",,https://www.transportation.gov/,https://www.transportation.gov/cj,DOTransportation.jpg,
781,070,Department of Homeland Security,DHS,7000,Department of Homeland Security,DHS,7000,Department of Homeland Security,DHS,,,True,False,True,True,"With honor and integrity, we will safeguard the American people, our homeland, and our values.",,https://www.dhs.gov/,https://www.dhs.gov/cj,DHS.jpg,
817,071,Overseas Private Investment Corporation,OPIC,7100,Overseas Private Investment Corporation,OPIC,7100,Overseas Private Investment Corporation,OPIC,,,True,False,True,True,,"On January 2nd, 2020, OPIC was replaced by DFC. In addition to absorbing OPIC, DFC also combined aspects of USAID,  including chiefly its Development Credit Authority (DCA). For DATA Act reporting purposes, the newly-created DFC continued to report as OPIC until its last submission in FY20Q4, but began to include the full set of DFC TAS in FY20Q3. DFC's first submission as DFC was in FY21Q1.",https://www.opic.gov/,https://www.opic.gov/cj,,
818,072,Agency for International Development,USAID,7200,Agency for International Development,USAID,7200,Agency for International Development,USAID,,,True,False,True,True,"We partner to end extreme poverty and promote resilient, democratic societies while advancing our security and prosperity.",,https://www.usaid.gov/,https://www.usaid.gov/cj,USAID.jpg,
820,073,Small Business Administration,SBA,7300,Small Business Administration,SBA,7300,Small Business Administration,SBA,,,True,False,True,True,To maintain and strengthen the nation's economy by enabling the establishment and vitality of small businesses and to assist in the economic recovery of communities after disasters.,,https://www.sba.gov/,https://www.sba.gov/cj,SBA.jpg,
822,074,American Battle Monuments Commission,ABMC,7400,American Battle Monuments Commission,ABMC,7400,American Battle Monuments Commission,ABMC,,,True,False,True,True,"As the preeminent guardian of America's overseas commemorative cemeteries and memorial, the American Battle Monuments Commission honors the service of the armed forces by designing, constructing, maintaining and operating permanent American cemeteries, and establishing, maintaining, and approving designs of memorials, markers, and monuments where America's armed forces have served beyond our borders.",,https://www.abmc.gov/,https://www.abmc.gov/cj,,
823,075,Department of Health and Human Services,HHS,7500,Department of Health and Human Services,HHS,7500,Department of Health and Human Services,HHS,,,True,False,True,True,"It is the mission of the U.S. Department of Health & Human Services (HHS) to enhance and protect the health and well-being of all Americans. We fulfill that mission by providing for effective health and human services and fostering advances in medicine, public health, and social services.",,https://www.hhs.gov/,https://www.hhs.gov/cj,DHHS.jpg,
868,077,U.S. International Development Finance Corporation,DFC,7700,United States International Development Finance Corporation,DFC,7700,U.S. International Development Finance Corporation,DFC,United States International Development Finance Corporation,22.0,True,False,True,True,"U.S. International Development Finance Corporation (DFC) is America’s development bank. DFC partners with the private sector to finance solutions to the most critical challenges facing the developing world today. We invest across sectors including energy, healthcare, critical infrastructure, and technology. DFC also provides financing for small businesses and women entrepreneurs in order to create jobs in emerging markets. DFC investments adhere to high standards and respect the environment, human rights, and worker rights.","On January 2nd, 2020, OPIC was replaced by DFC. In addition to absorbing OPIC, DFC also combined aspects of USAID,  including chiefly its Development Credit Authority (DCA). For DATA Act reporting purposes, the newly-created DFC continued to report as OPIC until its last submission in FY20Q4, but began to include the full set of DFC TAS in FY20Q3. DFC's first submission as DFC was in FY21Q1.",https://www.dfc.gov/,,,"Added entire row on 2/17. Going to cause a mess given that it subsumed OPIC, which has a different AID and SubTier. Will probably have to change OPIC's FREC CGAC Association flag etc and hardcode weird treatment of this to get it to show up right."
869,080,National Aeronautics and Space Administration,NASA,8000,National Aeronautics and Space Administration,NASA,8000,National Aeronautics and Space Administration,NASA,,,True,False,True,True,"Drive advances in science, technology, aeronautics, and space exploration to enhance knowledge, education, innovation, economic vitality, and stewardship of Earth.",,https://www.nasa.gov/,https://www.nasa.gov/cj,NASA.jpg,
884,083,Export-Import Bank of the United States,EXIM,8300,Export-Import Bank of the United States,EXIM,8300,Export-Import Bank of the United States,EXIM,,,True,False,True,True,"The Export-Import Bank of the United States (EXIM) is the official export credit agency of the United States. EXIM is an independent, self-sustaining Executive Branch agency with a mission of supporting American jobs by facilitating the export of U.S. goods and services.",,https://www.exim.gov/,https://www.exim.gov/cj,,
885,084,Armed Forces Retirement Home,AFRH,8400,Armed Forces Retirement Home,AFRH,8400,Armed Forces Retirement Home,AFRH,,,True,False,True,True,,,https://www.afrh.gov/,,,"""In 1991 Congress incorporated the U.S. Naval Home (opened in 1834) and U. S. Soldiers' and Airmen's Home (founded in 1851) into an independent establishment of the Executive Branch of the Federal Government named the Armed Forces Retirement Home (AFRH) Agency. In 2002, the names of the two homes were officially changed to The Armed Forces Retirement Home - Gulfport and The Armed Forces Retirement Home - Washington."""
